"location_id","country","capitallongitude","capitallatitude","year"
26,"Morocco","-6.816667","34.016666666666666",256
26,"Morocco","-6.816667","34.016666666666666",257
26,"Morocco","-6.816667","34.016666666666666",258
26,"Morocco","-6.816667","34.016666666666666",259
26,"Morocco","-6.816667","34.016666666666666",260
26,"Morocco","-6.816667","34.016666666666666",261
26,"Morocco","-6.816667","34.016666666666666",262
26,"Morocco","-6.816667","34.016666666666666",263
26,"Morocco","-6.816667","34.016666666666666",264
26,"Morocco","-6.816667","34.016666666666666",265
26,"Morocco","-6.816667","34.016666666666666",266
26,"Morocco","-6.816667","34.016666666666666",267
26,"Morocco","-6.816667","34.016666666666666",268
26,"Morocco","-6.816667","34.016666666666666",269
26,"Morocco","-6.816667","34.016666666666666",270
23,"Tunisia","10.183333","36.8",250
23,"Tunisia","10.183333","36.8",251
23,"Tunisia","10.183333","36.8",252
23,"Tunisia","10.183333","36.8",253
23,"Tunisia","10.183333","36.8",254
23,"Tunisia","10.183333","36.8",255
23,"Tunisia","10.183333","36.8",256
23,"Tunisia","10.183333","36.8",257
23,"Tunisia","10.183333","36.8",258
23,"Tunisia","10.183333","36.8",259
23,"Tunisia","10.183333","36.8",260
23,"Tunisia","10.183333","36.8",261
23,"Tunisia","10.183333","36.8",262
23,"Tunisia","10.183333","36.8",263
23,"Tunisia","10.183333","36.8",264
23,"Tunisia","10.183333","36.8",265
23,"Tunisia","10.183333","36.8",266
23,"Tunisia","10.183333","36.8",267
23,"Tunisia","10.183333","36.8",268
23,"Tunisia","10.183333","36.8",269
23,"Tunisia","10.183333","36.8",270
22,"Libya","13.166667","32.88333333333333",250
22,"Libya","13.166667","32.88333333333333",251
22,"Libya","13.166667","32.88333333333333",252
22,"Libya","13.166667","32.88333333333333",253
22,"Libya","13.166667","32.88333333333333",254
22,"Libya","13.166667","32.88333333333333",255
22,"Libya","13.166667","32.88333333333333",256
22,"Libya","13.166667","32.88333333333333",257
22,"Libya","13.166667","32.88333333333333",258
22,"Libya","13.166667","32.88333333333333",259
22,"Libya","13.166667","32.88333333333333",260
22,"Libya","13.166667","32.88333333333333",261
22,"Libya","13.166667","32.88333333333333",262
22,"Libya","13.166667","32.88333333333333",263
22,"Libya","13.166667","32.88333333333333",264
22,"Libya","13.166667","32.88333333333333",265
22,"Libya","13.166667","32.88333333333333",266
22,"Libya","13.166667","32.88333333333333",267
22,"Libya","13.166667","32.88333333333333",268
22,"Libya","13.166667","32.88333333333333",269
22,"Libya","13.166667","32.88333333333333",270
25,"Algeria","3.050000","36.75",250
25,"Algeria","3.050000","36.75",251
25,"Algeria","3.050000","36.75",252
25,"Algeria","3.050000","36.75",253
25,"Algeria","3.050000","36.75",254
25,"Algeria","3.050000","36.75",255
25,"Algeria","3.050000","36.75",256
25,"Algeria","3.050000","36.75",257
25,"Algeria","3.050000","36.75",258
25,"Algeria","3.050000","36.75",259
25,"Algeria","3.050000","36.75",260
25,"Algeria","3.050000","36.75",261
25,"Algeria","3.050000","36.75",262
25,"Algeria","3.050000","36.75",263
25,"Algeria","3.050000","36.75",264
25,"Algeria","3.050000","36.75",265
25,"Algeria","3.050000","36.75",266
25,"Algeria","3.050000","36.75",267
25,"Algeria","3.050000","36.75",268
25,"Algeria","3.050000","36.75",269
25,"Algeria","3.050000","36.75",270
24,"Egypt","31.250000","30.05",250
24,"Egypt","31.250000","30.05",251
24,"Egypt","31.250000","30.05",252
24,"Egypt","31.250000","30.05",253
24,"Egypt","31.250000","30.05",254
24,"Egypt","31.250000","30.05",255
24,"Egypt","31.250000","30.05",256
24,"Egypt","31.250000","30.05",257
24,"Egypt","31.250000","30.05",258
24,"Egypt","31.250000","30.05",259
24,"Egypt","31.250000","30.05",260
24,"Egypt","31.250000","30.05",261
24,"Egypt","31.250000","30.05",262
24,"Egypt","31.250000","30.05",263
24,"Egypt","31.250000","30.05",264
24,"Egypt","31.250000","30.05",265
24,"Egypt","31.250000","30.05",266
24,"Egypt","31.250000","30.05",267
24,"Egypt","31.250000","30.05",268
24,"Egypt","31.250000","30.05",269
24,"Egypt","31.250000","30.05",270
179,"Serbia","20.500000","44.833333333333336",250
179,"Serbia","20.500000","44.833333333333336",251
179,"Serbia","20.500000","44.833333333333336",252
179,"Serbia","20.500000","44.833333333333336",253
179,"Serbia","20.500000","44.833333333333336",254
179,"Serbia","20.500000","44.833333333333336",255
179,"Serbia","20.500000","44.833333333333336",256
179,"Serbia","20.500000","44.833333333333336",257
179,"Serbia","20.500000","44.833333333333336",258
179,"Serbia","20.500000","44.833333333333336",259
179,"Serbia","20.500000","44.833333333333336",260
179,"Serbia","20.500000","44.833333333333336",261
179,"Serbia","20.500000","44.833333333333336",262
179,"Serbia","20.500000","44.833333333333336",263
179,"Serbia","20.500000","44.833333333333336",264
179,"Serbia","20.500000","44.833333333333336",265
179,"Serbia","20.500000","44.833333333333336",266
179,"Serbia","20.500000","44.833333333333336",267
179,"Serbia","20.500000","44.833333333333336",268
179,"Serbia","20.500000","44.833333333333336",269
179,"Serbia","20.500000","44.833333333333336",270
24,"Egypt","31.250000","30.05",272
204,"Italy","12.483333","41.9",304
204,"Italy","12.483333","41.9",305
202,"Greece","23.733333","37.983333333333334",304
202,"Greece","23.733333","37.983333333333334",305
151,"Turkey","32.866667","39.93333333333333",304
151,"Turkey","32.866667","39.93333333333333",305
168,"Syria","36.300000","33.5",304
168,"Syria","36.300000","33.5",305
210,"Spain","-3.683333","40.4",304
210,"Spain","-3.683333","40.4",305
209,"Portugal","-9.133333","38.71666666666667",304
209,"Portugal","-9.133333","38.71666666666667",305
26,"Morocco","-6.816667","34.016666666666666",304
26,"Morocco","-6.816667","34.016666666666666",305
23,"Tunisia","10.183333","36.8",304
23,"Tunisia","10.183333","36.8",305
22,"Libya","13.166667","32.88333333333333",304
22,"Libya","13.166667","32.88333333333333",305
25,"Algeria","3.050000","36.75",304
25,"Algeria","3.050000","36.75",305
24,"Egypt","31.250000","30.05",304
24,"Egypt","31.250000","30.05",305
179,"Serbia","20.500000","44.833333333333336",304
179,"Serbia","20.500000","44.833333333333336",305
